auctioneer_url,lat,lng,state,city,zip,address,auctions
https://www.liveauctioneers.com/auctioneer/1938/east-coast-auctions/,41.1513,-73.9417,NY,Congers,10989,17 N. Rockland Ave Building W,80.0
https://www.liveauctioneers.com/auctioneer/196/burchard-galleries-inc/,27.7988,-82.6666,FL,St. Petersburg,33713,2528 30th Avenue North,239.0
https://www.liveauctioneers.com/auctioneer/1962/antiques-and-art-by-imeon/,30.0073,-95.4556,TX,Houston,77069,6106 Knotty Post,11.0
https://www.liveauctioneers.com/auctioneer/197/hindman/,41.8857,-87.6606,IL,Chicago,60607,1550 West Carroll Avenue,943.0
https://www.liveauctioneers.com/auctioneer/20/aurora/,34.206278,-118.680753,CA,Bell Canyon,91307,30 Hackamore Lane Suite 3,40.0
https://www.liveauctioneers.com/auctioneer/2058/burns-auction-and-appraisal-llc/,39.7137,-82.5993,OH,Carroll,43112,3739 Old Columbus Rd. NW,57.0
https://www.liveauctioneers.com/auctioneer/2063/the-stein-auction-co/,42.1166,-88.0549,IL,Palatine,60078,P.O. Box 136,6.0
https://www.liveauctioneers.com/auctioneer/209/bunte-auction-services-inc/,42.072931,-88.29758,IL,Elgin,60123,755 Church Road,148.0
https://www.liveauctioneers.com/auctioneer/21/austin-auction-gallery/,30.485129,-97.852617,TX,Austin,78729-5479,8414 Anderson Mill Road,353.0
https://www.liveauctioneers.com/auctioneer/212/weiss-auctions/,40.6582,-73.6601,NY,Lynbrook,11563,74 Merrick Road,192.0
https://www.liveauctioneers.com/auctioneer/216/belhorn-auctions-llc/,40.034508,-83.150174,OH,Hilliard,43026,2746 Wynnerock Ct,59.0
https://www.liveauctioneers.com/auctioneer/218/early-american-history-auctions/,33.020908,-117.190346,CA,Rancho Santa Fe,92067,P.O. Box 3507,179.0
https://www.liveauctioneers.com/auctioneer/2211/miami-auction-gallery/,25.734,-80.3801,FL,Miami,33165,11455 sw 40th st. Suite # 208,159.0
https://www.liveauctioneers.com/auctioneer/2228/arcollectibles/,42.0382,-72.5604,MA,Springfield,01108,Springfield,22.0
https://www.liveauctioneers.com/auctioneer/227/stout-auctions/,40.292627,-87.29327,IN,Williamsport,47993,529 State Road 28 E,232.0
https://www.liveauctioneers.com/auctioneer/231/turkey-creek-auctions/,29.3516,-82.1577,FL,REDDICK,32686,15323 NW Gainesville RD,85.0
https://www.liveauctioneers.com/auctioneer/2368/premier-auction-house-inc/,26.91,-82.3247,FL,Englewood,34224,3031 Placida Road,23.0
https://www.liveauctioneers.com/auctioneer/2376/landu-online-auctions/,42.1214,-88.037,IL,Palatine,60067,675 North Ct. Ste. 350,3.0
https://www.liveauctioneers.com/auctioneer/2406/main-street-mining-co/,32.8361,-97.1411,TX,Bedford,76095,PO Box 210514,39.0
