title,date,price,cats,final_bidder,auctioneer,img,url,auctioneer_url
2 ORIG NAZI POSTCARDS--WEHRMACHT SOLDIERS W/M16 HELMETS,"Sep 25, 2013",,,,Universal Live,https://p1.liveauctioneers.com/1011/45251/20336361_1_x.jpg?quality=80&version=1379367850,https://www.liveauctioneers.com/item/20336361_2-orig-nazi-postcards-wehrmacht-soldiers-wm16-helmets,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI WAR MERIT CROSS WITH SWORDS-FRONT SWASTIKA 1939,"Sep 25, 2013",,,,Universal Live,https://p1.liveauctioneers.com/1011/45251/20336389_1_x.jpg?quality=80&version=1379367850,https://www.liveauctioneers.com/item/20336389_nazi-war-merit-cross-with-swords-front-swastika-1939,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI WAR MERIT MEDAL-ORIG WITH REPLACEMENT LOOP,"Sep 25, 2013",,,,Universal Live,https://p1.liveauctioneers.com/1011/45251/20336401_1_x.jpg?quality=80&version=1379367850,https://www.liveauctioneers.com/item/20336401_nazi-war-merit-medal-orig-with-replacement-loop,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
GERMAN NAZI PARTY RING WITH SWASTIKA ENAMEL TOP,"Sep 25, 2013",,Jewelry > Rings,Competing Bid,Affiliated Auctions,https://p1.liveauctioneers.com/368/45390/20425917_1_x.jpg?quality=80&version=1379606781,https://www.liveauctioneers.com/item/20425917_german-nazi-party-ring-with-swastika-enamel-top,https://www.liveauctioneers.com/auctioneer/368/affiliated-auctions/
WW2 Nazi Veteran's Hat Insignia de nazified.,"Oct 06, 2013",,Collectibles,,ARCollectibles,https://p1.liveauctioneers.com/2228/45709/20659187_1_x.jpg?quality=80&version=1380399407,https://www.liveauctioneers.com/item/20659187_ww2-nazi-veteran-s-hat-insignia-de-nazified,https://www.liveauctioneers.com/auctioneer/2228/arcollectibles/
NAZI ART WORK PORCELAIN GIRL STREET SINGER W/TAMBOURINE,"Oct 05, 2013",,,,Universal Live,https://p1.liveauctioneers.com/1011/45752/20692154_1_x.jpg?quality=80&version=1380255230,https://www.liveauctioneers.com/item/20692154_nazi-art-work-porcelain-girl-street-singer-wtambourine,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
CASED GERMAN NAZI JULY 20TH BLACK WOUND BADGE,"Oct 06, 2013",$225,,Internet Bid,Pioneer Auction Gallery,https://p1.liveauctioneers.com/1056/45797/20723093_1_x.jpg?quality=80&version=1380354378,https://www.liveauctioneers.com/item/20723093_cased-german-nazi-july-20th-black-wound-badge,https://www.liveauctioneers.com/auctioneer/1056/pioneer-auction-gallery/
GERMAN NAZI NAVAL OFFICERS DAGGER POMMEL,"Oct 06, 2013",$25,Collectibles,Competing Bid,Pioneer Auction Gallery,https://p1.liveauctioneers.com/1056/45797/20723185_1_x.jpg?quality=80&version=1380354378,https://www.liveauctioneers.com/item/20723185_german-nazi-naval-officers-dagger-pommel,https://www.liveauctioneers.com/auctioneer/1056/pioneer-auction-gallery/
WWII Nazi Iron Cross,"Oct 12, 2013",$150,Collectibles,Competing Bid,North American Auction Co.,https://p1.liveauctioneers.com/1746/45830/20749860_1_x.jpg?quality=80&version=1380567628,https://www.liveauctioneers.com/item/20749860_wwii-nazi-iron-cross,https://www.liveauctioneers.com/auctioneer/1746/north-american-auction-co/
Nazi Eagle &amp; Swastika Badge Sterling,"Oct 12, 2013",$60,,Competing Bid,North American Auction Co.,https://p1.liveauctioneers.com/1746/45830/20749866_1_x.jpg?quality=80&version=1380567628,https://www.liveauctioneers.com/item/20749866_nazi-eagle-and-swastika-badge-sterling,https://www.liveauctioneers.com/auctioneer/1746/north-american-auction-co/
WWII Nazi Shoulder Patches,"Oct 12, 2013",$70,,Competing Bid,North American Auction Co.,https://p1.liveauctioneers.com/1746/45830/20749872_1_x.jpg?quality=80&version=1380567628,https://www.liveauctioneers.com/item/20749872_wwii-nazi-shoulder-patches,https://www.liveauctioneers.com/auctioneer/1746/north-american-auction-co/
NAZI WEHRMACHT PANZER ASSAULT TANK AWARD BADGE -MARKED,"Oct 15, 2013",,Collectibles,,Universal Live,https://p1.liveauctioneers.com/1011/46037/20871197_1_x.jpg?quality=80&version=1380930373,https://www.liveauctioneers.com/item/20871197_nazi-wehrmacht-panzer-assault-tank-award-badge-marked,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
