title,date,price,cats,final_bidder,auctioneer,img,url,auctioneer_url
NAZI  DAY OF THE WORKER  MEDALS 1934 &amp; 1935 EARLY ORIG.,"Aug 31, 2010",,Collectibles > Historical Memorabilia,,Universal Live,https://p1.liveauctioneers.com/1011/22351/7767059_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7767059_nazi-day-of-the-worker-medals-1934-and-1935-early-orig,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
ORIG. NS FRAUENSCHAFT MEMBER MEDAL-ENAMEL W/SWASTIKA,"Aug 31, 2010",,"Collectibles > Coins, Currency &amp; Stamps",,Universal Live,https://p1.liveauctioneers.com/1011/22351/7767072_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7767072_orig-ns-frauenschaft-member-medal-enamel-wswastika,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI 20 RM ORIGINAL CURRENCY WITH EAGLE AND SWASTIKA,"Aug 31, 2010",$15,,Internet Bid,Universal Live,https://p1.liveauctioneers.com/1011/22351/7767082_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7767082_nazi-20-rm-original-currency-with-eagle-and-swastika,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NICE ORIGINAL SS SIDE CAP EAGLE/SWASTIKA,"Aug 31, 2010",,Collectibles,,Universal Live,https://p1.liveauctioneers.com/1011/22351/7767085_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7767085_nice-original-ss-side-cap-eagleswastika,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI LUFTWAFFE UNIFORM BREAST EAGLE-SILVER GREY,"Aug 31, 2010",,,,Universal Live,https://p1.liveauctioneers.com/1011/22351/7767088_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7767088_nazi-luftwaffe-uniform-breast-eagle-silver-grey,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
WWII NAZI ARBEITSBUCH-SWASTIKAS COVER-ENTRIES 1936-45,"Aug 31, 2010",,,,Universal Live,https://p1.liveauctioneers.com/1011/22351/7767090_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7767090_wwii-nazi-arbeitsbuch-swastikas-cover-entries-1936-45,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
ORIGINAL 1936 NSDAP KREISTAG MEDAL WUTHEIM RUHR,"Aug 31, 2010",,Collectibles > Historical Memorabilia,,Universal Live,https://p1.liveauctioneers.com/1011/22351/7767093_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7767093_original-1936-nsdap-kreistag-medal-wutheim-ruhr,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
VISOR CAP NAZI POLICE EAGLE/SWASTIKA/IN WREATH W/PRONGS,"Aug 31, 2010",$55,Collectibles,Internet Bid,Universal Live,https://p1.liveauctioneers.com/1011/22351/7767096_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7767096_visor-cap-nazi-police-eagleswastikain-wreath-wprongs,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
1939 REICHPARTEITAG MEDAL-EAGLE/SWASTIKA -MOTHER CHILD,"Aug 31, 2010",,"Collectibles > Coins, Currency &amp; Stamps",,Universal Live,https://p1.liveauctioneers.com/1011/22351/7767107_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7767107_1939-reichparteitag-medal-eagleswastika-mother-child,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
UNIQUE ORIGINAL NAZI ARMBAND-RED W/INK STAMP &amp; SWASTIKA,"Aug 31, 2010",,,,Universal Live,https://p1.liveauctioneers.com/1011/22351/7767110_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7767110_unique-original-nazi-armband-red-wink-stamp-and-swastika,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
RARE RLB/REICHS LUFTSCHUTZ BUND ARMBAND-ORIGINAL,"Aug 31, 2010",,,,Universal Live,https://p1.liveauctioneers.com/1011/22351/7767122_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7767122_rare-rlbreichs-luftschutz-bund-armband-original,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
8 ORIGINAL NAZI STAMPS- HITLER HJ SWASTIKA BLACK CORSS,"Aug 31, 2010",$60,,Internet Bid,Universal Live,https://p1.liveauctioneers.com/1011/22351/7767128_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7767128_8-original-nazi-stamps-hitler-hj-swastika-black-corss,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
WWII NAZI- 3 ORIGINAL SWASTIKA DISCS FOR FLAGS UN-SEWN,"Aug 31, 2010",$35,,Competing Bid,Universal Live,https://p1.liveauctioneers.com/1011/22351/7767129_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7767129_wwii-nazi-3-original-swastika-discs-for-flags-un-sewn,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
"HEAVY METAL NAZI POLICE WREATH, EAGLE &amp; SWASTIKA VISOR","Aug 31, 2010",,,,Universal Live,https://p1.liveauctioneers.com/1011/22351/7767137_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7767137_heavy-metal-nazi-police-wreath-eagle-and-swastika-visor,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI TALL SHIP MEDAL-1935-WITH EAGLE &amp; SWASTIKA ON TOP,"Aug 31, 2010",,"Collectibles > Coins, Currency &amp; Stamps",,Universal Live,https://p1.liveauctioneers.com/1011/22351/7767143_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7767143_nazi-tall-ship-medal-1935-with-eagle-and-swastika-on-top,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
ORIG. NAZI BADGE OF FEDERATION OF GERMAN ETHNIC GROUPS,"Aug 31, 2010",,Collectibles > Historical Memorabilia,,Universal Live,https://p1.liveauctioneers.com/1011/22351/7767147_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7767147_orig-nazi-badge-of-federation-of-german-ethnic-groups,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI EAGLE/SWASTIKA ARMY OFFICERS M43 CAP INSIGNIA,"Aug 31, 2010",$30,,Competing Bid,Universal Live,https://p1.liveauctioneers.com/1011/22351/7767153_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7767153_nazi-eagleswastika-army-officers-m43-cap-insignia,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
WWII Germany Nazi Flag,"Jan 12, 2020",$125,Collectibles > Militaria &amp; War Memorabilia,Competing Bid,Premier Auction House Inc.,https://p1.liveauctioneers.com/2368/154048/77770530_1_x.jpg?quality=80&version=1577166075,https://www.liveauctioneers.com/item/77770530_wwii-germany-nazi-flag,https://www.liveauctioneers.com/auctioneer/2368/premier-auction-house-inc/
ORIGINAL NAZI 20 REICHSMARK BANK NOTE EAGLE SWASTIKA,"Aug 28, 2010",,,,Universal Live,https://p1.liveauctioneers.com/1011/22349/7778656_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7778656_original-nazi-20-reichsmark-bank-note-eagle-swastika,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI WEHRMACHT SPORTS EVENT SHIRT EAGLE &amp; SWASTIKA,"Aug 28, 2010",,Fashion > Women's Clothing > Shirts &amp; Blouses,,Universal Live,https://p1.liveauctioneers.com/1011/22349/7778657_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7778657_nazi-wehrmacht-sports-event-shirt-eagle-and-swastika,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
5 NAZI REICHSMARK 1942 WTIH EAGLE AND SWASTIKA,"Aug 28, 2010",,Collectibles,,Universal Live,https://p1.liveauctioneers.com/1011/22349/7778659_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7778659_5-nazi-reichsmark-1942-wtih-eagle-and-swastika,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
[NAZI STAMP COLLECTION],"Sep 04, 2010",$80,,Competing Bid,Signature House,https://p1.liveauctioneers.com/135/22320/7804152_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7804152_292-nazi-stamp-collection,https://www.liveauctioneers.com/auctioneer/135/signature-house/
[WAFFEN SS CAVALRY CAP],"Sep 04, 2010",$600,,Internet Bid,Signature House,https://p1.liveauctioneers.com/135/22320/7804162_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7804162_303-waffen-ss-cavalry-cap,https://www.liveauctioneers.com/auctioneer/135/signature-house/
Large NAZI German Reichsadler Eagle Swastika Pin,"Dec 01, 2019",$75,Jewelry > Brooches &amp; Pins,Internet Bid,South Florida Auction &amp; Estate Sale Services Inc,https://p1.liveauctioneers.com/6629/154654/78058616_1_x.jpg?quality=80&version=1573327007,https://www.liveauctioneers.com/item/78058616_large-nazi-german-reichsadler-eagle-swastika-pin,https://www.liveauctioneers.com/auctioneer/6629/south-florida-auction-and-estate-sale-services-inc/
NAZI German Reichsadler Eagle Swastika Tag/Fob,"Dec 01, 2019",$60,Collectibles,Internet Bid,South Florida Auction &amp; Estate Sale Services Inc,https://p1.liveauctioneers.com/6629/154654/78058617_1_x.jpg?quality=80&version=1573327007,https://www.liveauctioneers.com/item/78058617_nazi-german-reichsadler-eagle-swastika-tagfob,https://www.liveauctioneers.com/auctioneer/6629/south-florida-auction-and-estate-sale-services-inc/
Lot of 2 WW2 German Nazi/Swastika Volkswagen Pins,"Dec 01, 2019",$50,Jewelry > Brooches &amp; Pins,Internet Bid,South Florida Auction &amp; Estate Sale Services Inc,https://p1.liveauctioneers.com/6629/154654/78059113_1_x.jpg?quality=80&version=1573327007,https://www.liveauctioneers.com/item/78059113_lot-of-2-ww2-german-naziswastika-volkswagen-pins,https://www.liveauctioneers.com/auctioneer/6629/south-florida-auction-and-estate-sale-services-inc/
WWII German Nazi Military Flag - Kress St. Tonis,"Sep 12, 2010",$250,,Competing Bid,Fontaine's Auction Gallery,https://p1.liveauctioneers.com/1044/22434/7812156_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7812156_7-wwii-german-nazi-military-flag-kress-st-tonis,https://www.liveauctioneers.com/auctioneer/1044/fontaine-s-auction-gallery/
WW2 NAZI GERMAN BELT BUCKLE,"Sep 12, 2010",$55,,Competing Bid,Fontaine's Auction Gallery,https://p1.liveauctioneers.com/1044/22434/7812157_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7812157_8-ww2-nazi-german-belt-buckle,https://www.liveauctioneers.com/auctioneer/1044/fontaine-s-auction-gallery/
"LARGE GERMAN WW2 NAZI BANNER, FLAG w. SWASTIKA","Dec 07, 2019",,Collectibles > Militaria &amp; War Memorabilia,Competing Bid,V.N. Collectible,https://p1.liveauctioneers.com/6038/154990/78247436_1_x.jpg?quality=80&version=1573776235,https://www.liveauctioneers.com/item/78247436_large-german-ww2-nazi-banner-flag-w-swastika,https://www.liveauctioneers.com/auctioneer/6038/vn-collectible/
ORIGINAL GERMAN WW2 NAZI FLAG w. SWASTIKA,"Dec 07, 2019",,Collectibles > Militaria &amp; War Memorabilia,,V.N. Collectible,https://p1.liveauctioneers.com/6038/154990/78247541_1_x.jpg?quality=80&version=1573777822,https://www.liveauctioneers.com/item/78247541_original-german-ww2-nazi-flag-w-swastika,https://www.liveauctioneers.com/auctioneer/6038/vn-collectible/
GERMAN WW2 LARGE NAZI FLAG w. SWASTIKA,"Dec 07, 2019",,Collectibles > Militaria &amp; War Memorabilia,Competing Bid,V.N. Collectible,https://p1.liveauctioneers.com/6038/154990/78247564_1_x.jpg?quality=80&version=1573776241,https://www.liveauctioneers.com/item/78247564_german-ww2-large-nazi-flag-w-swastika,https://www.liveauctioneers.com/auctioneer/6038/vn-collectible/
GERMAN WW2 LARGE NAZI FLAG w. SWASTIKA,"Dec 07, 2019",,Collectibles > Militaria &amp; War Memorabilia,,V.N. Collectible,https://p1.liveauctioneers.com/6038/154990/78247565_1_x.jpg?quality=80&version=1573776243,https://www.liveauctioneers.com/item/78247565_german-ww2-large-nazi-flag-w-swastika,https://www.liveauctioneers.com/auctioneer/6038/vn-collectible/
"GERMAN WW2 DOUBLE-SIDED NAZI NSDAP BANNER, SWASTIKA","Dec 07, 2019",,Collectibles > Militaria &amp; War Memorabilia,,V.N. Collectible,https://p1.liveauctioneers.com/6038/154990/78247566_1_x.jpg?quality=80&version=1573776241,https://www.liveauctioneers.com/item/78247566_german-ww2-double-sided-nazi-nsdap-banner-swastika,https://www.liveauctioneers.com/auctioneer/6038/vn-collectible/
GERMAN WW2 NAZI NSDAP FLAG w. SWASTIKA,"Dec 07, 2019",,Collectibles > Militaria &amp; War Memorabilia,,V.N. Collectible,https://p1.liveauctioneers.com/6038/154990/78247804_1_x.jpg?quality=80&version=1573759735,https://www.liveauctioneers.com/item/78247804_german-ww2-nazi-nsdap-flag-w-swastika,https://www.liveauctioneers.com/auctioneer/6038/vn-collectible/
GERMAN WW2 NAZI NSDAP FLAG w. SWASTIKA,"Dec 07, 2019",,Collectibles > Militaria &amp; War Memorabilia,,V.N. Collectible,https://p1.liveauctioneers.com/6038/154990/78247805_1_x.jpg?quality=80&version=1573759735,https://www.liveauctioneers.com/item/78247805_german-ww2-nazi-nsdap-flag-w-swastika,https://www.liveauctioneers.com/auctioneer/6038/vn-collectible/
HAND PAINTED CAMEO PORTRAIT OF ADOLF HITLER,"Oct 01, 2010",,Art > Paintings,Internet Bid,Affiliated Auctions,https://p1.liveauctioneers.com/368/22495/7839983_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7839983_276-hand-painted-cameo-portrait-of-adolf-hitler,https://www.liveauctioneers.com/auctioneer/368/affiliated-auctions/
GERMAN NAZI .900 SILVER ENAMELED CIGARETTE CASE,"Oct 01, 2010",$800,Collectibles > Tobacciana > Cigarette Cases &amp; Cigarette Holders,Competing Bid,Affiliated Auctions,https://p1.liveauctioneers.com/368/22495/7839991_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7839991_284-german-nazi-900-silver-enameled-cigarette-case,https://www.liveauctioneers.com/auctioneer/368/affiliated-auctions/
ORIGINAL WWII NAZI GERMANY SWASTIKA 4 X 14 BANNER,"Oct 01, 2010",,Collectibles,Competing Bid,Affiliated Auctions,https://p1.liveauctioneers.com/368/22495/7840031_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7840031_324-original-wwii-nazi-germany-swastika-4-x-14-banner,https://www.liveauctioneers.com/auctioneer/368/affiliated-auctions/
ORIGINAL WWII GERMAN NAZI SWASTIKA BANNER,"Oct 01, 2010",,Collectibles,Internet Bid,Affiliated Auctions,https://p1.liveauctioneers.com/368/22495/7840032_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7840032_325-original-wwii-german-nazi-swastika-banner,https://www.liveauctioneers.com/auctioneer/368/affiliated-auctions/
GERMAN WWII TRIANGULAR PENNANT,"Oct 01, 2010",$110,Collectibles,Internet Bid,Affiliated Auctions,https://p1.liveauctioneers.com/368/22495/7840036_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7840036_329-german-wwii-triangular-pennant,https://www.liveauctioneers.com/auctioneer/368/affiliated-auctions/
THIRD REICH NAZI BUILDING FLAG,"Oct 01, 2010",$225,,Internet Bid,Affiliated Auctions,https://p1.liveauctioneers.com/368/22495/7840040_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7840040_333-third-reich-nazi-building-flag,https://www.liveauctioneers.com/auctioneer/368/affiliated-auctions/
WWII NAZI GERMAN SENIOR HUNTING FORESTRY DAGGER SWORD,"Jan 04, 2020",,,Competing Bid,Beachwood Auctions LLC,https://p1.liveauctioneers.com/6717/154004/78564839_1_x.jpg?quality=80&version=1576372942,https://www.liveauctioneers.com/item/78564839_wwii-nazi-german-senior-hunting-forestry-dagger-sword,https://www.liveauctioneers.com/auctioneer/6717/beachwood-auctions-llc/
MEDAL FOR GAU THING-KOBLENZ-TRIER RALLY 22/23 JUN 1935,"Sep 16, 2010",$52,Collectibles > Historical Memorabilia,Competing Bid,Universal Live,https://p1.liveauctioneers.com/1011/22543/7861099_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7861099_medal-for-gau-thing-koblenz-trier-rally-2223-jun-1935,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
WWII Nazi Black Wound Badge Pin Back Pressed Metal,"Sep 16, 2010",$50,Collectibles > Historical Memorabilia,Competing Bid,Universal Live,https://p1.liveauctioneers.com/1011/22543/7861136_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7861136_wwii-nazi-black-wound-badge-pin-back-pressed-metal,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
WWII Nazi Krim Shield Crimea Campaign Badge 1941-42,"Sep 16, 2010",,Collectibles > Historical Memorabilia,,Universal Live,https://p1.liveauctioneers.com/1011/22543/7861138_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7861138_wwii-nazi-krim-shield-crimea-campaign-badge-1941-42,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
WWII Early SA Nazi Visor Cap Eagle Swastika Prong Back,"Sep 16, 2010",,Collectibles,,Universal Live,https://p1.liveauctioneers.com/1011/22543/7861145_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7861145_wwii-early-sa-nazi-visor-cap-eagle-swastika-prong-back,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
Nazi Womans Deustches Frauenmerk Pinwheel Swastika Pin,"Sep 16, 2010",,Jewelry > Brooches &amp; Pins,,Universal Live,https://p1.liveauctioneers.com/1011/22543/7861146_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7861146_nazi-womans-deustches-frauenmerk-pinwheel-swastika-pin,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
WWII Nazi Black Wound Badge Pin Back w/ Helmet Swastika,"Sep 16, 2010",,Collectibles > Historical Memorabilia,,Universal Live,https://p1.liveauctioneers.com/1011/22543/7861148_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7861148_wwii-nazi-black-wound-badge-pin-back-w-helmet-swastika,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
"HEAVY METAL NAZI POLICE WREATH, EAGLE &amp; SWASTIKA VISOR","Sep 16, 2010",,,,Universal Live,https://p1.liveauctioneers.com/1011/22543/7861158_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7861158_heavy-metal-nazi-police-wreath-eagle-and-swastika-visor,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI SWASTIKA &amp; GEAR DAF STICKPIN-MARKED RZM &amp; 52,"Sep 16, 2010",$40,Collectibles,Internet Bid,Universal Live,https://p1.liveauctioneers.com/1011/22543/7861161_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7861161_nazi-swastika-and-gear-daf-stickpin-marked-rzm-and-52,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
1936 DEUTSCHES JUNGEND FEST MEDAL-HJ DIAMOND/SWASTIKA,"Sep 16, 2010",,,,Universal Live,https://p1.liveauctioneers.com/1011/22543/7861169_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7861169_1936-deutsches-jungend-fest-medal-hj-diamondswastika,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI ARMY WEHRMACHT BELT BUCKLE-MAKER MARKED,"Sep 16, 2010",,Fashion > Accessories &amp; Vanity Items > Belts &amp; Chatelaines > Belts,,Universal Live,https://p1.liveauctioneers.com/1011/22543/7861170_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7861170_nazi-army-wehrmacht-belt-buckle-maker-marked,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
RARE DLV-DEUTSCHER LUFTFAHRT-VERBAND CAP INSIGNIA,"Sep 16, 2010",,"Collectibles > Coins, Currency &amp; Stamps",,Universal Live,https://p1.liveauctioneers.com/1011/22543/7861176_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7861176_rare-dlv-deutscher-luftfahrt-verband-cap-insignia,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
"NAZI 1934 SILVER 5 RM COIN EAGLE &amp; SWASTIKAS, POTSDAM","Sep 16, 2010",$25,Collectibles,Internet Bid,Universal Live,https://p1.liveauctioneers.com/1011/22543/7861177_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7861177_nazi-1934-silver-5-rm-coin-eagle-and-swastikas-potsdam,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
2 ORIGINAL SWASTIKAS from NAZI FLAG 2 PHOTOS OF NAZIS,"Sep 16, 2010",,,Competing Bid,Universal Live,https://p1.liveauctioneers.com/1011/22543/7861178_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7861178_2-original-swastikas-from-nazi-flag-2-photos-of-nazis,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
PAIR ORIGINAL NAZI DAF/DEUTSCHEN ARBEITS STICK PINS,"Sep 16, 2010",,Jewelry > Brooches &amp; Pins,,Universal Live,https://p1.liveauctioneers.com/1011/22543/7861183_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7861183_pair-original-nazi-dafdeutschen-arbeits-stick-pins,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
ORIG. NAZI LUFTWAFFE EAGLE &amp; SWASTIKA FOR VISOR HAT,"Sep 16, 2010",$40,Collectibles,Internet Bid,Universal Live,https://p1.liveauctioneers.com/1011/22543/7861186_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7861186_orig-nazi-luftwaffe-eagle-and-swastika-for-visor-hat,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
RAD NAZI REICHS ARBEIT DIENST ROBIN HOOD CAP INSIGNIA,"Sep 16, 2010",,Collectibles,,Universal Live,https://p1.liveauctioneers.com/1011/22543/7861189_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7861189_rad-nazi-reichs-arbeit-dienst-robin-hood-cap-insignia,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
WWII NAZI ARBEITSBUCH-SWASTIKAS COVER-ENTRIES 1936-45,"Sep 16, 2010",,,,Universal Live,https://p1.liveauctioneers.com/1011/22543/7861193_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7861193_wwii-nazi-arbeitsbuch-swastikas-cover-entries-1936-45,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
ORIGINAL NAZI 20 REICHSMARK BANK NOTE EAGLE SWASTIKA,"Sep 16, 2010",,,,Universal Live,https://p1.liveauctioneers.com/1011/22543/7861199_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7861199_original-nazi-20-reichsmark-bank-note-eagle-swastika,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
1939 REICHPARTEITAG MEDAL-EAGLE/SWASTIKA -MOTHER CHILD,"Sep 16, 2010",,"Collectibles > Coins, Currency &amp; Stamps",,Universal Live,https://p1.liveauctioneers.com/1011/22543/7861201_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7861201_1939-reichparteitag-medal-eagleswastika-mother-child,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
ORIG WWII NAZI DAF DEUTSCHE ARBEITSFRONT ID BOOK + CARD,"Sep 16, 2010",$25,Collectibles,Competing Bid,Universal Live,https://p1.liveauctioneers.com/1011/22543/7861203_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7861203_orig-wwii-nazi-daf-deutsche-arbeitsfront-id-book-card,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI EAGLE &amp; SWASTIKA NAVY INSIGNIA-BREAST EAGLE &amp; CAP,"Sep 16, 2010",,Collectibles,,Universal Live,https://p1.liveauctioneers.com/1011/22543/7861205_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7861205_nazi-eagle-and-swastika-navy-insignia-breast-eagle-and-cap,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
ORIGINAL DOUBLE SIDED NAZI PENNANT-MULTI-PIECE,"Sep 16, 2010",,Collectibles,,Universal Live,https://p1.liveauctioneers.com/1011/22543/7861208_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7861208_original-double-sided-nazi-pennant-multi-piece,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
LARGE NAZI POLICE EAGLE &amp; SWASTIKA INSIGNIA IN WREATH,"Sep 16, 2010",,Collectibles,,Universal Live,https://p1.liveauctioneers.com/1011/22543/7861210_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7861210_large-nazi-police-eagle-and-swastika-insignia-in-wreath,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
ORIGINAL 1936 NSDAP KREISTAG MEDAL WUTHEIM RUHR,"Sep 16, 2010",,Collectibles > Historical Memorabilia,,Universal Live,https://p1.liveauctioneers.com/1011/22543/7861212_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7861212_original-1936-nsdap-kreistag-medal-wutheim-ruhr,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
"Nazi Swastika banner,  3 pins are pinned to the center,","Dec 03, 2019",$140,Jewelry > Brooches &amp; Pins,Internet Bid,Hudson Valley Auctioneers LLC Beacon NY,https://p1.liveauctioneers.com/1276/155760/78612136_1_x.jpg?quality=80&version=1574458524,https://www.liveauctioneers.com/item/78612136_nazi-swastika-banner-3-pins-are-pinned-to-the-center,https://www.liveauctioneers.com/auctioneer/1276/hudson-valley-auctioneers-llc-beacon-ny/
"Nazi flag with swastika, 69"" by 41""","Dec 03, 2019",$130,,Internet Bid,Hudson Valley Auctioneers LLC Beacon NY,https://p1.liveauctioneers.com/1276/155760/78612138_1_x.jpg?quality=80&version=1574458524,https://www.liveauctioneers.com/item/78612138_nazi-flag-with-swastika-69-by-41,https://www.liveauctioneers.com/auctioneer/1276/hudson-valley-auctioneers-llc-beacon-ny/
10 KARBOWANEZ NAZI OCCUPATION OF UKRAINE 1942 BANKNOTE,"Sep 16, 2010",$14,Collectibles,Competing Bid,Universal Live,https://p1.liveauctioneers.com/1011/22543/7861214_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7861214_10-karbowanez-nazi-occupation-of-ukraine-1942-banknote,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
ORIGINAL NAZI FRONT MEDAL W/RIBBON 1941/42,"Sep 16, 2010",,Collectibles > Historical Memorabilia,,Universal Live,https://p1.liveauctioneers.com/1011/22543/7861215_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7861215_original-nazi-front-medal-wribbon-194142,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
6 LIMITED ED 2001 NAZI SS BELT BUCKLES w/PLAQUE,"Sep 16, 2010",,,,Universal Live,https://p1.liveauctioneers.com/1011/22543/7861217_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7861217_6-limited-ed-2001-nazi-ss-belt-buckles-wplaque,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
RARE RLB/REICHS LUFTSCHUTZ BUND ARMBAND-ORIGINAL,"Sep 16, 2010",,,,Universal Live,https://p1.liveauctioneers.com/1011/22543/7861221_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7861221_rare-rlbreichs-luftschutz-bund-armband-original,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI VETERANS VISOR HAT INSIGNIA &amp; WORKERS DAY MEDAL,"Sep 16, 2010",,,,Universal Live,https://p1.liveauctioneers.com/1011/22543/7861254_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7861254_nazi-veterans-visor-hat-insignia-and-workers-day-medal,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI WEHRMACHT SPORTS EVENT SHIRT EAGLE &amp; SWASTIKA,"Sep 16, 2010",,Fashion > Women's Clothing > Shirts &amp; Blouses,,Universal Live,https://p1.liveauctioneers.com/1011/22543/7861260_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/7861260_nazi-wehrmacht-sports-event-shirt-eagle-and-swastika,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
